hashing,magic,majorLinkerVersion,minorLinkerVerison,SizeOfCode,SizeOfInitializedData,SizeOfUnitializedData,AddressOfEntryPoint, BaseOfCode: ,BaseOfData:,ImageBase:,SectionAlignment,FileAlignment:,MajorOperatingSystemVersion, MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion:,MajorSubsystemVersion,MinorSubsystemVersion:,Reserved1,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,,Name,Misc,Misc_PhysicalAddress,Misc_VirtualSize,VirtualAddress,SizeOfRawData,PointerToRawData,PointerToRelocations,PointerToLinenumbers,NumberOfRelocations,NumberOfLinenumbers,Characteristics,,Name,Misc,Misc_PhysicalAddress,Misc_VirtualSize,VirtualAddress,SizeOfRawData,PointerToRawData,PointerToRelocations,PointerToLinenumbers,NumberOfRelocations,NumberOfLinenumbers,Characteristics,,Name,Misc,Misc_PhysicalAddress,Misc_VirtualSize,VirtualAddress,SizeOfRawData,PointerToRawData,PointerToRelocations,PointerToLinenumbers,NumberOfRelocations,NumberOfLinenumbers,Characteristics,,Name,Misc,Misc_PhysicalAddress,Misc_VirtualSize,VirtualAddress,SizeOfRawData,PointerToRawData,PointerToRelocations,PointerToLinenumbers,NumberOfRelocations,NumberOfLinenumbers,Characteristics,,Name,Misc,Misc_PhysicalAddress,Misc_VirtualSize,VirtualAddress,SizeOfRawData,PointerToRawData,PointerToRelocations,PointerToLinenumbers,NumberOfRelocations,NumberOfLinenumbers,Characteristics,Type
00060e7df9844d69e0548fc6b6787c9f3c7f6048507516ff5c83c134884a04a1, 0x10B, 0x2, 0x32, 0x7EE00, 0x28A00, 0x7000, 0x79D40, 0x1000, 0x80000, 0x400000, 0x1000, 0x200, 0x1, 0x0, 0x0, 0x0, 0x4, 0x0, 0x0, 0xB5000, 0x400, 0x0, 0x2, 0x0, 0x100000, 0x1000, 0x100000, 0x1000, 0x0, 0x10, , .text, 0x7EDEB, 0x7EDEB, 0x7EDEB, 0x1000, 0x7EE00, 0x400, 0x0, 0x0, 0x0, 0x0, 0x60000020, , .bss, 0x6F9F, 0x6F9F, 0x6F9F, 0x80000, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xC0000080, , .rdata, 0x241, 0x241, 0x241, 0x87000, 0x400, 0x7F200, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .exc, 0x1A4, 0x1A4, 0x1A4, 0x88000, 0x200, 0x7F600, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .data, 0x1D540, 0x1D540, 0x1D540, 0x89000, 0x1D600, 0x7F800, 0x0, 0x0, 0x0, 0x0, 0xC0000040,0
0008d0135a28f4dce813b0b6590734d4025032c4cb2c9dd4e8ccdfba8eaf4352, 0x10B, 0x6, 0x0, 0x10000, 0x2000, 0x0, 0x1868, 0x1000, 0x11000, 0x400000, 0x1000, 0x1000, 0x4, 0x0, 0x1, 0x0, 0x4, 0x0, 0x0, 0x13000, 0x1000, 0x1A6D8, 0x2, 0x0, 0x100000, 0x1000, 0x100000, 0x1000, 0x0, 0x10, , .text, 0xF20C, 0xF20C, 0xF20C, 0x1000, 0x10000, 0x1000, 0x0, 0x0, 0x0, 0x0, 0x60000020, , .data, 0xD54, 0xD54, 0xD54, 0x11000, 0x1000, 0x11000, 0x0, 0x0, 0x0, 0x0, 0xC0000040, , .rsrc, 0x900, 0x900, 0x900, 0x12000, 0x1000, 0x12000, 0x0, 0x0, 0x0, 0x0, 0x40000040, , ,,,,,,,,,,,,,,,,,,,,,,,,,0
001300a5323bf6c1812b686c1c896857d4cf85c676e48f451d8cb7b9a8f0afe0, 0x10B, 0x9, 0x0, 0x25400, 0x40A00, 0x0, 0x1A2C0, 0x1000, 0x27000, 0x1000000, 0x1000, 0x200, 0x6, 0x1, 0x6, 0x1, 0x5, 0x1, 0x0, 0x69000, 0x400, 0x40B79, 0x3, 0x8140, 0x40000, 0x2000, 0x100000, 0x1000, 0x0, 0x10, , .text, 0x25298, 0x25298, 0x25298, 0x1000, 0x25400, 0x400, 0x0, 0x0, 0x0, 0x0, 0x60000020, , .data, 0x363FC, 0x363FC, 0x363FC, 0x27000, 0x1A00, 0x25800, 0x0, 0x0, 0x0, 0x0, 0xC0000040, , .rsrc, 0x6FD8, 0x6FD8, 0x6FD8, 0x5E000, 0x7000, 0x27200, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .reloc, 0x3436, 0x3436, 0x3436, 0x65000, 0x3600, 0x2E200, 0x0, 0x0, 0x0, 0x0, 0x42000040, , ,,,,,,,,,,,,0
001b0c91f2ed80cc3048881a6124d81ff029d21602b9a07baf760f0f05ad6fad, 0x10B, 0xA, 0x0, 0x3FA00, 0x11E00, 0x0, 0x2BDB1, 0x1000, 0x41000, 0x400000, 0x1000, 0x200, 0x5, 0x1, 0x0, 0x0, 0x5, 0x1, 0x0, 0x57000, 0x400, 0x592A7, 0x3, 0x8140, 0x100000, 0x1000, 0x100000, 0x1000, 0x0, 0x10, , .text, 0x3F88B, 0x3F88B, 0x3F88B, 0x1000, 0x3FA00, 0x400, 0x0, 0x0, 0x0, 0x0, 0x60000020, , .rdata, 0xA7D8, 0xA7D8, 0xA7D8, 0x41000, 0xA800, 0x3FE00, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .data, 0x4BC0, 0x4BC0, 0x4BC0, 0x4C000, 0x2A00, 0x4A600, 0x0, 0x0, 0x0, 0x0, 0xC0000040, , .rsrc, 0x56C, 0x56C, 0x56C, 0x51000, 0x600, 0x4D000, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .reloc, 0x45B4, 0x45B4, 0x45B4, 0x52000, 0x4600, 0x4D600, 0x0, 0x0, 0x0, 0x0, 0x42000040,0
0027f27d324c4693cc70d3902f14a0dcde4676982d58cabdc62ff1c337ce48cf, 0x10B, 0xC, 0x0, 0x61600, 0x1B400, 0x0, 0x493F7, 0x1000, 0x63000, 0x400000, 0x1000, 0x200, 0x5, 0x1, 0x0, 0x0, 0x5, 0x1, 0x0, 0x83000, 0x400, 0x82917, 0x3, 0x8140, 0x100000, 0x1000, 0x100000, 0x1000, 0x0, 0x10, , .text, 0x61422, 0x61422, 0x61422, 0x1000, 0x61600, 0x400, 0x0, 0x0, 0x0, 0x0, 0x60000020, , .rdata, 0x14CDC, 0x14CDC, 0x14CDC, 0x63000, 0x14E00, 0x61A00, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .data, 0x5004, 0x5004, 0x5004, 0x78000, 0x2600, 0x76800, 0x0, 0x0, 0x0, 0x0, 0xC0000040, , .rsrc, 0x750, 0x750, 0x750, 0x7E000, 0x800, 0x78E00, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .reloc, 0x375C, 0x375C, 0x375C, 0x7F000, 0x3800, 0x79600, 0x0, 0x0, 0x0, 0x0, 0x42000040,0
0028674d11b4995333b419ca593b6596ed482c28fba06b9349718a838a43618e, 0x10B, 0x6, 0x0, 0x1AA00, 0xBA00, 0x0, 0x1939C, 0x1000, 0x1C000, 0x400000, 0x1000, 0x200, 0x4, 0x0, 0x0, 0x0, 0x4, 0x0, 0x0, 0x29000, 0x400, 0x0, 0x2, 0x0, 0x100000, 0x1000, 0x100000, 0x1000, 0x0, 0x10, , .text, 0x1A90E, 0x1A90E, 0x1A90E, 0x1000, 0x1AA00, 0x400, 0x0, 0x0, 0x0, 0x0, 0x60000020, , .rdata, 0x52BA, 0x52BA, 0x52BA, 0x1C000, 0x5400, 0x1AE00, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .data, 0x4C6C, 0x4C6C, 0x4C6C, 0x22000, 0xA00, 0x20200, 0x0, 0x0, 0x0, 0x0, 0xC0000040, , .rsrc, 0x199C, 0x199C, 0x199C, 0x27000, 0x1A00, 0x20C00, 0x0, 0x0, 0x0, 0x0, 0x40000040, , ,,,,,,,,,,,,0
004f277954f86a21374b27718807444cb6b4627e2ee3dbda1ca2a9572b8b5c08, 0x10B, 0xA, 0x0, 0x16D600, 0xC6C00, 0x0, 0x1410F2, 0x1000, 0x16F000, 0x400000, 0x1000, 0x200, 0x5, 0x1, 0x0, 0x0, 0x5, 0x1, 0x0, 0x242000, 0x400, 0x23C8DC, 0x2, 0x8100, 0x100000, 0x1000, 0x100000, 0x1000, 0x0, 0x10, , .text, 0x16D4EC, 0x16D4EC, 0x16D4EC, 0x1000, 0x16D600, 0x400, 0x0, 0x0, 0x0, 0x0, 0x60000020, , .rdata, 0x5201E, 0x5201E, 0x5201E, 0x16F000, 0x52200, 0x16DA00, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .data, 0x1083C, 0x1083C, 0x1083C, 0x1C2000, 0x6E00, 0x1BFC00, 0x0, 0x0, 0x0, 0x0, 0xC0000040, , SHARED, 0x4, 0x4, 0x4, 0x1D3000, 0x200, 0x1C6A00, 0x0, 0x0, 0x0, 0x0, 0xD0000040, , .rsrc, 0x6D8F8, 0x6D8F8, 0x6D8F8, 0x1D4000, 0x6DA00, 0x1C6C00, 0x0, 0x0, 0x0, 0x0, 0x40000040,0
005754ced6f73a197a4a21c58da39d5e3ee84e484640765dbda2475f4ba2d3bd, 0x10B, 0xC, 0x0, 0xFC00, 0x63400, 0x0, 0x24F9, 0x1000, 0x11000, 0x400000, 0x1000, 0x200, 0x5, 0x1, 0x0, 0x0, 0x5, 0x1, 0x0, 0x77000, 0x400, 0x73F13, 0x3, 0x8140, 0x100000, 0x1000, 0x100000, 0x1000, 0x0, 0x10, , .text, 0xFBB4, 0xFBB4, 0xFBB4, 0x1000, 0xFC00, 0x400, 0x0, 0x0, 0x0, 0x0, 0x60000020, , .rdata, 0x55D0, 0x55D0, 0x55D0, 0x11000, 0x5600, 0x10000, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .data, 0x30CC, 0x30CC, 0x30CC, 0x17000, 0x1200, 0x15600, 0x0, 0x0, 0x0, 0x0, 0xC0000040, , .tls, 0x10009, 0x10009, 0x10009, 0x1B000, 0x10200, 0x16800, 0x0, 0x0, 0x0, 0x0, 0xC0000040, , .rsrc, 0x498A8, 0x498A8, 0x498A8, 0x2C000, 0x49A00, 0x26A00, 0x0, 0x0, 0x0, 0x0, 0x40000040,0
005cb8c786c6eaa28fc6f3194d475018af5b3241b375e400bf5c5ce9d7ebc4be, 0x10B, 0xE, 0xA, 0x30E00, 0x3AEE00, 0x0, 0x1A760, 0x1000, 0x32000, 0x400000, 0x1000, 0x200, 0xA, 0x0, 0xA, 0x0, 0x5, 0x1, 0x0, 0x3E3000, 0x400, 0x3EAB12, 0x2, 0xC140, 0x40000, 0x2000, 0x100000, 0x1000, 0x0, 0x10, , .text, 0x30DD0, 0x30DD0, 0x30DD0, 0x1000, 0x30E00, 0x400, 0x0, 0x0, 0x0, 0x0, 0x60000020, , .data, 0x1CB0, 0x1CB0, 0x1CB0, 0x32000, 0x1000, 0x31200, 0x0, 0x0, 0x0, 0x0, 0xC0000040, , .idata, 0xF08, 0xF08, 0xF08, 0x34000, 0x1000, 0x32200, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .rsrc, 0x3AA710, 0x3AA710, 0x3AA710, 0x35000, 0x3AA800, 0x33200, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .reloc, 0x2440, 0x2440, 0x2440, 0x3E0000, 0x2600, 0x3DDA00, 0x0, 0x0, 0x0, 0x0, 0x42000040,0
005cbfb334fccebc40f66eaff7e9355b83bfaf2795c5d84c2c7c82173018f133, 0x10B, 0x6, 0x0, 0x5E00, 0x1D000, 0x400, 0x322B, 0x1000, 0x7000, 0x400000, 0x1000, 0x200, 0x4, 0x0, 0x6, 0x0, 0x4, 0x0, 0x0, 0x3E000, 0x400, 0x24BA11, 0x2, 0x8540, 0x100000, 0x1000, 0x100000, 0x1000, 0x0, 0x10, , .text, 0x5DC5, 0x5DC5, 0x5DC5, 0x1000, 0x5E00, 0x400, 0x0, 0x0, 0x0, 0x0, 0x60000020, , .rdata, 0x1246, 0x1246, 0x1246, 0x7000, 0x1400, 0x6200, 0x0, 0x0, 0x0, 0x0, 0x40000040, , .data, 0x1A818, 0x1A818, 0x1A818, 0x9000, 0x400, 0x7600, 0x0, 0x0, 0x0, 0x0, 0xC0000040, , .ndata, 0x11000, 0x11000, 0x11000, 0x24000, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xC0000080, , .rsrc, 0x8180, 0x8180, 0x8180, 0x35000, 0x8200, 0x7A00, 0x0, 0x0, 0x0, 0x0, 0x40000040,0
