label, filename, nodePair, NumberPacketsIn, NumberPacketsOut, Payload Length, protocol, avgTimeInterval
0,120,192.168.4.2;75.109.232.227,6,0,89.33333333,17,368.1925278
0,120,192.168.4.2;64.254.141.155,6,0,89.33333333,17,368.2136829
0,120,192.168.4.2;98.17.193.137,3,0,89.33333333,17,9.271858056
0,120,192.168.4.2;78.115.44.117,5,5,183,17,220.8722104
0,120,192.168.4.2;188.51.118.140,5,0,87.4,17,439.6930574
0,120,192.168.4.2;174.117.119.20,6,0,89.33333333,17,368.1713663
0,120,192.168.4.2;24.207.17.130,3,2,92.8,10.6,440.3534738
0,120,192.168.4.2;121.3.125.106,6,0,89.33333333,17,365.5337379
0,120,67.189.98.64;192.168.4.2,2,2,305.25,17,13.23208553
0,120,61.89.248.147;192.168.4.2,2,2,434.5,17,453.0020205
0,120,68.12.159.116;192.168.4.2,1,1,432,17,0.002768993
0,120,70.30.2.91;192.168.4.2,1,1,432,17,0.000241041
0,120,118.1.135.85;192.168.4.2,2,2,434.5,17,462.7365395
0,120,67.9.202.213;192.168.4.2,1,1,94.5,17,0.000267982
0,120,86.66.157.68;192.168.4.2,2,2,432,17,547.852771
0,120,219.122.242.7;192.168.4.2,2,2,432,17,463.0835128
0,120,192.168.4.2;24.29.58.165,2,2,263.25,17,621.5171835
0,120,81.233.194.106;192.168.4.2,5,5,432,17,222.2961792
0,120,192.168.4.2;68.118.60.11,4,4,183,17,272.0117486
0,120,192.168.4.2;41.121.110.45,5,0,87.4,17,432.0396174
0,120,192.168.4.2;173.216.26.166,5,5,183,17,220.5800765
0,120,192.168.4.2;94.13.56.158,4,4,183,17,272.1012994
0,120,192.168.4.2;183.177.160.157,6,6,183,17,180.9590885
0,120,192.168.4.2;69.255.50.242,6,6,183,17,190.7769831
0,120,192.168.4.2;207.161.165.222,5,5,183,17,214.506503
0,120,192.168.4.2;58.10.12.95,3,0,89.33333333,17,6.97814401
0,120,192.168.4.2;98.185.142.227,5,0,87.4,17,437.3056536
0,120,192.168.4.2;92.149.199.39,4,4,183,17,273.7882641
0,120,192.168.4.2;82.194.219.189,5,4,73.44444444,9.888888889,236.3793332
0,120,192.168.4.2;112.207.186.98,6,3,155,17,242.7444558
0,120,221.85.216.201;192.168.4.2,2,2,304.25,17,22.783732
0,120,192.168.4.2;93.24.56.53,1,1,94.5,17,0.106659532
0,120,27.82.116.21;192.168.4.2,3,3,344.8333333,17,289.3503793
0,120,125.201.188.107;192.168.4.2,12,12,264.5,17,90.2059007
0,120,192.168.4.2;69.180.41.144,2,2,94.5,17,500.0828795
0,120,68.199.117.238;192.168.4.2,2,2,306,17,12.60026801
0,120,69.230.163.42;192.168.4.2,1,1,94.5,17,0.00018847
0,120,192.168.4.2;69.112.35.42,2,2,94.5,17,400.3029457
0,120,24.154.4.152;192.168.4.2,1,1,432,17,0.000262499
0,120,192.168.4.2;46.30.167.184,4,3,76.42857143,10.14285714,302.987414
0,120,76.177.230.191;192.168.4.2,1,1,94.5,17,0.000186086
0,120,192.168.4.2;2.97.7.234,5,0,93.2,17,433.021501
0,120,192.168.4.2;109.152.2.127,5,5,183,17,221.0984074
0,120,192.168.4.2;118.90.99.181,4,0,84.5,17,37.30236399
0,120,192.168.4.2;70.180.134.203,60,60,623.8416667,17,18.31918806
0,120,192.168.4.2;60.240.110.67,56,56,588.5446429,17,19.62226452
0,120,192.168.4.2;64.149.234.229,48,48,637.1041667,17,23.11647218
0,120,192.168.4.2;70.73.157.120,51,45,596.2291667,17,23.4546946
0,120,192.168.4.2;222.152.22.219,5,0,93.2,17,436.3585458
0,120,192.168.4.2;206.193.241.107,4,0,84.5,17,526.6332192
0,120,192.168.4.2;71.95.241.119,3,0,89.33333333,17,13.61469634
0,120,192.168.4.2;111.216.114.42,4,0,91.75,17,13.64703298
0,120,114.175.46.226;192.168.4.2,2,2,434.5,17,452.7053227
